"Ltot","treeIndexing"
100.,3
125.89254117941661,3
158.48931924611142,3
199.5262314968879,3
251.1886431509582,3
316.2277660168379,3
398.1071705534969,3
501.18723362727246,3
630.957344480193,1
794.3282347242822,2
1000.,2
1258.9254117941662,2
1584.8931924611143,2
1995.2623149688789,2
2511.8864315095825,2
3162.2776601683795,2
3981.0717055349696,2
5011.872336272725,2
6309.57344480193,2
7943.282347242822,nan
10000.,nan
